"","msisdn","to","messageId","text","type","keyword","message_timestamp"
"32","15303571495","18885975960","CD18E4D8A2EB2A2D","no. Sold quit lose deal ten old are","text","no.","2017-09-16 20:32:18"
"33","16509063496","18885975960","841FEC23195756D1","interest boy for not. Estimable goodness the education","text","interest","2017-09-16 20:28:49"
"34","17605980047","18885975960","224F34B0E9E78B8A","to opinions worse. any and smallest suitable Weddings","text","to","2017-09-16 20:20:17"
"35","18580857455","18885975960","307F820BA74B18AE"," at to entirely In  settling be","text","","2017-09-16 20:33:04"
"36","14249011592","18885975960","AF065068D6FB5BF1","front as. as unwilling blind Ye which procuring","text","front","2017-09-16 20:23:12"
"37","16195634476","18885975960","6AD7F41F83A6CBD1","beyond wished an he. Remain bed regret branch","text","beyond","2017-09-16 20:27:01"
"38","15305553783","18885975960","666B633FC76474E6","one celebrated middletons alteration but Described apartments interested.","text","one","2017-09-16 20:29:38"
"39","12137148216","18885975960","A4EDA1B8D9B2E1E9","boy unreserved.  share  of He delightful","text","boy","2017-09-16 20:35:13"
"40","15107758525","18885975960","0A434902FC897CFA","child. forbade to. hundred totally  so Sitting","text","child.","2017-09-16 20:22:37"
"41","18318573277","18885975960","B74863773BFDFF03","highly rank Draw six. talked parish fond repair","text","highly","2017-09-16 20:20:10"
"42","19494433891","18885975960","8527656DE36173CD","understood marked yet. friendship Nature his his frequently","text","understood","2017-09-16 20:27:29"
"43","16196476284","18885975960","441CFD24859AFC94","Bore has Discovery can led than rank. how","text","Bore","2017-09-16 20:21:19"
"44","19162049193","18885975960","89800EDE83E1B9D1","ye gravity Or brought. blushes as nothing up","text","ye","2017-09-16 20:23:10"
"45","13238069646","18885975960","EAC239CB6EF0711F","as points. smart enough or is Miles at","text","as","2017-09-16 20:21:47"
"46","13108188157","18885975960","69FADA86E563D7DF","entered no. ten Sold quit are carried old","text","entered","2017-09-16 20:30:49"
"47","13235303134","18885975960","C4C25C2B51A49292","as. principle unwilling by. as Ye procuring ","text","as.","2017-09-16 20:24:37"
"48","12092579876","18885975960","55E33A7D3B5FF441","amiable insensible Law farther for middletons besides. unsatiable","text","amiable","2017-09-16 20:20:56"
"49","12095820995","18885975960","D4739FBA12A399F5","summer. he gentleman depending Extremely rapturous improving intention","text","summer.","2017-09-16 20:25:25"
"50","18181659676","18885975960","952EE083401C00EE","his sent. correct how You sex several far","text","his","2017-09-16 20:27:30"
"51","16196394807","18885975960","915BB69CF4DCA96E","the At  day eat. distant  inhabit","text","the","2017-09-16 20:34:58"
"52","15599144614","18885975960","FF4A8D2BAF86F7C4","court so an death think small no wrote.","text","court","2017-09-16 20:35:59"
"53","13233077824","18885975960","A68E840B99922FAE","ye lady good them girl It me make.","text","ye","2017-09-16 20:20:15"
"54","17602516366","18885975960","C552D759945EF8CD","by.  to be entirely In at ","text","by.","2017-09-16 20:32:31"
"55","15101371596","18885975960","1E252EE15299E4C5","exquisite at he up in. do nearer Warmly","text","exquisite","2017-09-16 20:31:50"
"56","17077474533","18885975960","1BE2406F9B78B33D","Short blind which at front as Ye as.","text","Short","2017-09-16 20:24:08"
"57","18184983248","18885975960","BE9140AB5D17EC68","points. at ﻿no whole marry smart Miles linen","text","points.","2017-09-16 20:35:25"
"58","18059983070","18885975960","7844E89AE3779A16","any smallest nay. suitable houses opinions he My","text","any","2017-09-16 20:35:10"
"59","19160460259","18885975960","5BB0EC8A24A6D9C9","hundred an Advice to. me   cousin","text","hundred","2017-09-16 20:21:44"
"60","14155655682","18885975960","7185B2511B276769","entirely to two Fruit at felicity. be settling","text","entirely","2017-09-16 20:20:41"
"61","15104661038","18885975960","72E3C13613FF15EB","of style there. if Tiled he allow vexed","text","of","2017-09-16 20:30:14"
"62","14158491142","18885975960","2113D1D6E70F416C","world. no We leaf snug on need. to","text","world.","2017-09-16 20:29:03"
"63","19512730353","18885975960","B0CAE383A9310BB3","ferrars Too yet weather him colonel. ten shyness","text","ferrars","2017-09-16 20:24:16"
"64","18311851504","18885975960","3CFE89EE712D9EA1","eat now. Very girl ye lady them looked","text","eat","2017-09-16 20:24:57"
"65","14087606133","18885975960","05B092571FEC0666","affixed carried Am  it rejoiced finished to.","text","affixed","2017-09-16 20:27:10"
"66","15629998990","18885975960","66597D276F2B3FED","what Held sir what she seen. know how","text","what","2017-09-16 20:31:39"
"67","14248327307","18885975960","305272382D3DF39B","Draw rank the form day eat. nor fond","text","Draw","2017-09-16 20:35:25"
"68","18188778623","18885975960","61F5F8C294D6D6C2","manner either praise in. limits In as no","text","manner","2017-09-16 20:28:32"
"69","17140910046","18885975960","64C4A8408C75D31E","its how what know seen. Held she sir","text","its","2017-09-16 20:28:57"
"70","17602621166","18885975960","E31D04953F16C649","fond nor the eat. day  rank form","text","fond","2017-09-16 20:23:20"
"71","14154813463","18885975960","2156939B3513404E","Sold quit deal old ten are lose his","text","Sold","2017-09-16 20:36:11"
"72","19512905599","18885975960","35D3A636F7B2CB78","the impression inhabiting put two. partiality travelling favourable","text","the","2017-09-16 20:36:41"
"73","12093362257","18885975960","8694BD6093CC93A4","he do in. up exquisite Warmly he at","text","he","2017-09-16 20:27:46"
"74","13234777373","18885975960","D5A2EE99815650A1","admiration no so it. terminated Advantages in contrasted","text","admiration","2017-09-16 20:25:29"
"75","18586559612","18885975960","67F04554DE71B77D","frequently his wished. marked Nature ham yet. ","text","frequently","2017-09-16 20:36:04"
"76","18054089330","18885975960","3D3911841A931B2F","extensive. for determine The age. conveying Avoid moonlight","text","extensive.","2017-09-16 20:23:35"
"77","16500993023","18885975960","717F973F57AD5C03","Warmly merely  mr up he me. nearer","text","Warmly","2017-09-16 20:25:49"
"78","16618310911","18885975960","5CA543A1D3787E47","its looked eat Very ye now. girl lady","text","its","2017-09-16 20:34:47"
"79","12093805764","18885975960","A475902C415D39CD","at linen smart marry whole ﻿no mr. Income","text","at","2017-09-16 20:29:52"
"80","17144132283","18885975960","E6C734931AF778E8","make. It cousin shortly hardly me always. An","text","make.","2017-09-16 20:20:52"
"81","13233799720","18885975960","9E020B7D51D6898E","the education not. Estimable boy disposing goodness for","text","the","2017-09-16 20:32:34"
"82","18318225169","18885975960","EF7AEE9E29563A71","inhabit by. goodness welcomed interest the Appetite amongst","text","inhabit","2017-09-16 20:27:27"
"83","17073462678","18885975960","677FBBD57D95AE5E","recommend tolerably. met Bringing few him attention smallest","text","recommend","2017-09-16 20:26:21"
"84","14248353799","18885975960","87BD1D3FE74139D1","limited on. she. around Wicket say beauty evening","text","limited","2017-09-16 20:36:29"
"85","15308060814","18885975960","38242FBCA81E7ACA","him age himself pursuit Man husband musical. engaged","text","him","2017-09-16 20:21:15"
"86","12139955765","18885975960","65098E7668701685","highly repair rank talked Draw fond parish six.","text","highly","2017-09-16 20:27:18"
"87","14152120686","18885975960","0A572BC86AC1A8BE","improving as. court rapturous   intention Still","text","improving","2017-09-16 20:33:26"
"88","15305832502","18885975960","60BFFC758D1A1298","Could is hoped we death do since in.","text","Could","2017-09-16 20:31:40"
"89","14249548534","18885975960","0E6D86D192E91459"," give play they Do so miss up.","text","","2017-09-16 20:22:24"
"90","13108667519","18885975960","622B8FA879965C64","at sensible improved basket By remain. children servants","text","at","2017-09-16 20:31:40"
"91","19095298110","18885975960","F3710F271BAD8B36","yet him colonel. weather Too ten himself shyness","text","yet","2017-09-16 20:33:14"
"92","19499630193","18885975960","D347083BA7DD1539","shewing replied. the favourable inhabiting travelling She partiality","text","shewing","2017-09-16 20:23:46"
"93","18054294800","18885975960","36F1004AA94E4E1C","discovery. yet shyness ferrars ten colonel. Noisier weather","text","discovery.","2017-09-16 20:22:39"
"94","15622663064","18885975960","ACB3E02D7F1282A1","old his own. roof Inquietude friendship saw understood","text","old","2017-09-16 20:30:51"
"95","19495224738","18885975960","AD9DC4C5413FF114","his sex several how correct You sent. far","text","his","2017-09-16 20:23:28"
"96","15591147083","18885975960","FF1C5DFBDC9B6838","piqued others. dear held her son depend Two","text","piqued","2017-09-16 20:28:45"
"97","16500449302","18885975960","88784C7667488E46"," of share to worse. He first Weddings","text","","2017-09-16 20:21:42"
"98","19499059562","18885975960","923880CB6E87C354","moonlight Avoid for child. sorry marry age. see","text","moonlight","2017-09-16 20:27:09"
"99","16506360921","18885975960","5F5501A57C65D83A","consisted to regret wished beyond therefore. Dinner an","text","consisted","2017-09-16 20:32:07"
"100","15628820633","18885975960","C09A78BA39EEA326","at Income smart linen marry mr. whole ﻿no","text","at","2017-09-16 20:24:20"
"101","18587926945","18885975960","480E71C3546ECB05","rank day form eat. nor  the ","text","rank","2017-09-16 20:34:54"
"102","16260229147","18885975960","38BC675D7623B23E","Income depending can summer. wisdom nor joy Extremely","text","Income","2017-09-16 20:27:13"
"103","17607706731","18885975960","8D2F8695B8CDA568","plan understood own. saw Inquietude old sent roof","text","plan","2017-09-16 20:36:03"
"104","16267001351","18885975960","1B53A78706004554","and he suitable opinions smallest My nay. any","text","and","2017-09-16 20:25:59"
"105","19250078780","18885975960","85A2F08618A73BD9","at mr. ﻿no linen Income whole smart marry","text","at","2017-09-16 20:25:11"
"106","17076890457","18885975960","38A8D9D115BDF3AF","small Incommode death so wrote. an necessary think","text","small","2017-09-16 20:28:54"
"107","19165733884","18885975960","985EEE056B7C6966","six. great do child ye sorry lived. On","text","six.","2017-09-16 20:25:02"
"108","17149311874","18885975960","DC19C24736523300","if On to. at matter as needed almost","text","if","2017-09-16 20:27:29"
"109","19257806132","18885975960","340EC0852D00FF92","eat. by.  distant At amongst  inhabit","text","eat.","2017-09-16 20:26:03"
"110","18316872128","18885975960","DAD49C9DCCFF86EC","regret he. wished but Remain branch bed an","text","regret","2017-09-16 20:25:10"
"111","12135059880","18885975960","F93F253AAB26BB19","law ever of Meant to new. learn yet","text","law","2017-09-16 20:28:59"
"112","13237959414","18885975960","432CA8B2F9494C67","﻿no Income joy nor linen whole mr. marry","text","﻿no","2017-09-16 20:24:44"
"113","19160778823","18885975960","B1A683C36EE6AE3A","shortly raising She we is replied. shewing village","text","shortly","2017-09-16 20:26:09"
"114","12134848194","18885975960","294F3E5B200A550D","no Bringing recommend tolerably. of extremity depending attention","text","no","2017-09-16 20:35:31"
"115","15307792418","18885975960","49EBC8D7D2E24522","ferrars colonel. Too shyness yet ten weather him","text","ferrars","2017-09-16 20:20:32"
"116","18310901342","18885975960","6607B23B6AA8AA32","rank. Discovery has extensive direction. any commanded Short","text","rank.","2017-09-16 20:25:22"
"117","13234595769","18885975960","CBA7D09D150C3DB9","of leaf snug to on since world. We","text","of","2017-09-16 20:23:00"
"118","17606767616","18885975960","6D018A087C619C61","so Set upon dear had elegance. lose he","text","so","2017-09-16 20:31:14"
"119","14151762675","18885975960","43EB35313FF3E4DF","me make. me An It always. hardly cousin","text","me","2017-09-16 20:25:44"
"120","18050412163","18885975960","76CEDDE44CB632D7","summer. Extremely intention gentleman he depending rapturous improving","text","summer.","2017-09-16 20:21:02"
"121","18186828889","18885975960","B74F5723B7F33281","you son unaffected show. eyes Far two one","text","you","2017-09-16 20:33:46"
"122","19510395328","18885975960","7F709609A54E06EE","lived. Proceed far letters clothes ashamed cottage get","text","lived.","2017-09-16 20:25:42"
"123","14245606579","18885975960","E3D79877C77D608E","day amongst eat. inhabit   distant At","text","day","2017-09-16 20:34:48"
"124","15623390600","18885975960","1C8012A9DCBD124B","in. no The Exquisite extensive. attention my determine","text","in.","2017-09-16 20:31:58"
"125","19093062899","18885975960","02C4524FE7457DCB","chapter Sold entered no. carried are ten old","text","chapter","2017-09-16 20:34:45"
"126","15308863126","18885975960","4DBC9FC308D63D03","chapter entered Sold carried old ten are no.","text","chapter","2017-09-16 20:28:26"
"127","16265948152","18885975960","DFE945A07AC1C536","admiration in contrasted so terminated no Advantages it.","text","admiration","2017-09-16 20:21:34"
"128","19494630682","18885975960","7F06149E49354D4D","apartments far highly do. turned yet repair Limits","text","apartments","2017-09-16 20:27:38"
"129","13236527276","18885975960","DE68871AD6683B17","Extremely gentleman rapturous intention depending he improving as.","text","Extremely","2017-09-16 20:30:00"
"130","16508244167","18885975960","0D49D4C27CC49288","court death no wrote. so think an small","text","court","2017-09-16 20:32:23"
"131","14241434448","18885975960","F3408AD9D02ADA08","so   forbade hundred to. totally Advice","text","so","2017-09-16 20:36:19"
"132","17147267783","18885975960","B95DB50364E15BAC","add an Appear manner china visit. quiet equal","text","add","2017-09-16 20:24:50"
"133","14081892580","18885975960","B893B6C62FF27448","her others. dear view held Two feet mrs","text","her","2017-09-16 20:30:16"
"134","13100625802","18885975960","CA1E6EEFF13AE064","view her than old can fine. Bore led","text","view","2017-09-16 20:33:52"
"135","16193340902","18885975960","B96ECC894048A1FE","uncivil  Am carried affixed it finished to.","text","uncivil","2017-09-16 20:32:17"
"136","16269076936","18885975960","C67A4E6DD9A92B45","quiet limits no as visit. manner Appear an","text","quiet","2017-09-16 20:25:45"
"137","19096036340","18885975960","724A28906AD387E9","mrs can feet Bore her fine. old view","text","mrs","2017-09-16 20:24:04"
"138","18588298976","18885975960","EFDB39DC78717D14","to vexed style if he of learn allow","text","to","2017-09-16 20:24:15"
"139","18189256145","18885975960","44E30A04F8B5286B","deficient do. Passed edward consisted applauded me my","text","deficient","2017-09-16 20:32:42"
"140","17601197265","18885975960","F6E4DDEC34139F61","beyond he. wished regret Remain branch bed an","text","beyond","2017-09-16 20:33:27"
"141","13103891612","18885975960","48088C2A9D1486D2","an praise limits either manner no in. as","text","an","2017-09-16 20:36:26"
"142","19513545625","18885975960","66ADCD8C69C34563","dear fine. her feet view mrs held old","text","dear","2017-09-16 20:23:23"
"143","15107678276","18885975960","35CD44F2634C2561","consisted therefore. wished Dinner to beyond regret an","text","consisted","2017-09-16 20:36:15"
"144","17606406869","18885975960","CE6BCBF1D330F961","frequently Nature ham wished. yet. his marked ","text","frequently","2017-09-16 20:20:13"
"145","19255491334","18885975960","291859B672DD62E2","moonlight age. sorry for Avoid marry child. see","text","moonlight","2017-09-16 20:33:58"
"146","16269777981","18885975960","31EEC9A2A1768F90","understood friendship frequently yet. marked his his Nature","text","understood","2017-09-16 20:32:26"
"147","16261174283","18885975960","159DF667FD94B01B"," court think small death no so Still","text","","2017-09-16 20:36:50"
"148","13106847485","18885975960","B48F8262966BFEBB","what seen. know Held how what sir she","text","what","2017-09-16 20:32:46"
"149","18314192949","18885975960","77F2FAA60917BC13","held Bore fine. feet view mrs her old","text","held","2017-09-16 20:21:58"
"150","16503426942","18885975960","BD81C788E4674607","supposing of no recommend do eagerness. Commanded he","text","supposing","2017-09-16 20:21:01"
"151","14152627386","18885975960","2C8B1CBC4F09402C","on besides. Law amiable farther is justice charmed","text","on","2017-09-16 20:26:38"
"152","15303334086","18885975960","0A0395C07A97E840","is enough at Miles marry smart ﻿no points.","text","is","2017-09-16 20:26:03"
"153","17144713719","18885975960","494FC04F3FAC97B2","cousin spring paid an use of Tell needed.","text","cousin","2017-09-16 20:27:55"
"154","16195485753","18885975960","DDDD62E710E55C55","held Bore mrs feet her view old fine.","text","held","2017-09-16 20:31:38"
"155","19093007200","18885975960","CB806E07D8FD8861","frequently wished.  ham his Nature yet. marked","text","frequently","2017-09-16 20:26:27"
"156","14089001456","18885975960","8350E2E52B37B904","months Engrossed settle ladies remove appear. suffering supposing","text","months","2017-09-16 20:33:48"
"157","15627061638","18885975960","4EE45CFAAE507BD4","summer. Extremely depending intention he improving rapturous gentleman","text","summer.","2017-09-16 20:31:50"
"158","18185491884","18885975960","1F7A91C8AD14119D","Far celebrated one unaffected alteration two apartments but","text","Far","2017-09-16 20:23:52"
"159","14156513580","18885975960","CA419AA64FA6E2D2","man there ten terms any stand tears joy","text","man","2017-09-16 20:35:41"
"160","13235595226","18885975960","2F67FA7EE0987FEA","lived. get cottage Proceed clothes letters ashamed far","text","lived.","2017-09-16 20:32:44"
"161","15308531154","18885975960","A2BC5BAAE042C4B5","nearer mr merely me. It prepare  ","text","nearer","2017-09-16 20:23:05"
"162","18050707938","18885975960","08E5710EE106A5F5","Objection at in. eagerness delivered do exquisite he","text","Objection","2017-09-16 20:22:15"
"163","15306979494","18885975960","CFB58F30693FFE7D","Short Ye as. at as front blind which","text","Short","2017-09-16 20:35:58"
"164","17071134947","18885975960","50B2B15F395F9473","vexed Tiled allow there. if man he style","text","vexed","2017-09-16 20:27:58"
"165","16614201087","18885975960","6B5061D6E94999A1","seven enough Needed is points. or as share.","text","seven","2017-09-16 20:23:52"
"166","19514132743","18885975960","20929E24AB8215AE","match men Needed you as seven or share.","text","match","2017-09-16 20:33:32"
"167","19492879062","18885975960","243557A0FF362A40","uncommonly compliment Dissimilar travelling now bed acceptance solicitude.","text","uncommonly","2017-09-16 20:25:15"
"168","15623786733","18885975960","394700E79063721C","mr turned Limits he do. apartments far yet","text","mr","2017-09-16 20:30:18"
"169","16194336980","18885975960","CF0E3F0CBAA970E8"," Very its eat now. Little afraid looked","text","","2017-09-16 20:21:55"
"170","18587421998","18885975960","0AA23B7931735020","deficient me my Passed consisted edward do. applauded","text","deficient","2017-09-16 20:34:33"
"171","16265859040","18885975960","5B83594B07B60063","apartments share  unreserved. delightful boy  He","text","apartments","2017-09-16 20:28:35"
"172","16506089095","18885975960","A2ABD363904BD73A","needed. law use Tell paid new. yet ever","text","needed.","2017-09-16 20:25:16"
"173","19167907055","18885975960","91D9EF3320C9A715","Still think death so no an small court","text","Still","2017-09-16 20:35:56"
"174","12138546822","18885975960","C8EAF4A8E071A518","nor gentleman wisdom can depending he Extremely summer.","text","nor","2017-09-16 20:33:29"
"175","18057662671","18885975960","C9937E551206BC88","his several correct You far sex how sent.","text","his","2017-09-16 20:20:46"
"176","16618484401","18885975960","3B8DECE6F1FCE2FD","middletons applauded me deficient consisted Described interested. my","text","middletons","2017-09-16 20:24:57"
"177","17140284981","18885975960","DB0BD05921B62C0D","as. court Still small no   think","text","as.","2017-09-16 20:22:19"
"178","14248801434","18885975960","4778D8A9A2F98E2D","Weddings opinions suitable any smallest and nay. My","text","Weddings","2017-09-16 20:24:27"
"179","15591283476","18885975960","AE823FF712E67B5B","Sitting  totally to. hundred so  forbade","text","Sitting","2017-09-16 20:27:23"
"180","18317117320","18885975960","D7CDEA14D2469FF3","needed. new. law ever use paid Tell yet","text","needed.","2017-09-16 20:27:54"
"181","16619234784","18885975960","B97C12FB2DF26373","drawings so he lose dear elegance. upon Set","text","drawings","2017-09-16 20:34:10"
"182","13233267449","18885975960","D0118B90D6EAC6B1","he joy ten there. Tiled stand tears man","text","he","2017-09-16 20:35:18"
"183","16614644078","18885975960","6D52C2035240C2D3","herself chapter old no. carried entered Sold ten","text","herself","2017-09-16 20:23:26"
"184","19095452325","18885975960","C76CC46962BC4845","Early china equal had Appear visit. quiet add","text","Early","2017-09-16 20:27:00"
"185","15590080595","18885975960","8B2F5539394C71C0","form At eat.  the nor  day","text","form","2017-09-16 20:35:28"
"186","16504116547","18885975960","C75AB7BAE0C6CC1D","at felicity. settling you Fruit match two men","text","at","2017-09-16 20:31:49"
"187","15109845047","18885975960","1E0445C06ABBFB9C","clothes at day. matter Stairs to. regret if","text","clothes","2017-09-16 20:30:00"
"188","14246790660","18885975960","20A42E40ED11D9EB","of him Bringing depending tolerably. extremity attention recommend","text","of","2017-09-16 20:34:25"
"189","13104474664","18885975960","6DEB6BE13008108C","or Engrossed appear. suffering settle months remove ladies","text","or","2017-09-16 20:24:12"
"190","16190145332","18885975960","E1BEBBE3F69B27A7","feet her old led Bore can fine. view","text","feet","2017-09-16 20:21:36"
"191","16614066633","18885975960","37630200FD58A5C6","tears joy any ten there widen. Procuring terms","text","tears","2017-09-16 20:21:32"
"192","15305842717","18885975960","BF60ABF35943A2E7","widen. Pursuit ten. Procuring suspicion brother continued its","text","widen.","2017-09-16 20:21:26"
"193","14083563860","18885975960","4ED6C39FDF607F8F","put others. her piqued son depend set uneasy","text","put","2017-09-16 20:21:24"
"194","12095366604","18885975960","F365BAA0254E23AE","own. saw understood yet. Inquietude friendship his frequently","text","own.","2017-09-16 20:25:25"
"195","12093855076","18885975960","B5D6ACE18C799AEC","entirely to two Fruit felicity. be settling at","text","entirely","2017-09-16 20:33:10"
"196","14159263114","18885975960","61B6B71FA4CC1B8C","son one Far apartments show. alteration two unaffected","text","son","2017-09-16 20:28:54"
"197","17608437617","18885975960","1AAA9F0511C6D778","You how correct believe sex far distant several","text","You","2017-09-16 20:34:25"
"198","12130366188","18885975960","B6C57ACB1BDBBE43","so up. Words to since up of style","text","so","2017-09-16 20:27:40"
"199","19258903404","18885975960","E42AFBF1489F9135","snug no own uncommonly travelling Way on need.","text","snug","2017-09-16 20:24:06"
"200","16617697126","18885975960","B09AA86E3F1273B7","or ladies remove appear. suffering months Engrossed settle","text","or","2017-09-16 20:32:40"
"201","17608225295","18885975960","6FC4590190B220A6","so since Words style up to up. of","text","so","2017-09-16 20:21:06"
"202","19519349841","18885975960","AA6BCB443761DF30","Man Dinner age therefore. him consisted but determine","text","Man","2017-09-16 20:26:03"
"203","19165090711","18885975960","461A6FDDA8003FDF","nor gentleman he can Extremely summer. wisdom depending","text","nor","2017-09-16 20:36:23"
"204","17601562201","18885975960","0BC7D22D7858E7A2"," eat afraid Little now. looked its ","text","","2017-09-16 20:23:59"
"205","19512679403","18885975960","EE1E966444AD2219"," spring Advice needed. me an of cousin","text","","2017-09-16 20:35:51"
"206","14248337863","18885975960","8C65C9FD54D126BC","improved  servants striking children surprise. sensible in","text","improved","2017-09-16 20:32:42"
"207","18585405419","18885975960","792EF9D04990BC85","her. size good gay old plan John sent","text","her.","2017-09-16 20:35:04"
"208","12137551695","18885975960","6D7C57328C0E7AC9","distant Appetite welcomed interest inhabit the by. amongst","text","distant","2017-09-16 20:35:05"
"209","12133608161","18885975960","452A97DEB0A223B9","two. are unsatiable six acceptance instrument His entreaties","text","two.","2017-09-16 20:25:21"
"210","14080386153","18885975960","EEE2EA06E6007722","six acceptance entreaties unsatiable are Amongst her. instrument","text","six","2017-09-16 20:33:04"
"211","17609924320","18885975960","16CA9BF022572A39","at needed almost matter On if as to.","text","at","2017-09-16 20:21:07"
"212","15624626719","18885975960","E029471AB64DC861","She put travelling the partiality inhabiting favourable impression","text","She","2017-09-16 20:33:42"
"213","19168513635","18885975960","ABDD8765B9A0F57C","children in striking afraid  surprise.  Little","text","children","2017-09-16 20:26:51"
"214","18059617879","18885975960","5D139228C51BFFCE","you enough as is or Needed share. seven","text","you","2017-09-16 20:20:23"
"215","16190447482","18885975960","17901440800E37F9","one alteration interested. apartments Described middletons celebrated but","text","one","2017-09-16 20:34:53"
"216","15591301688","18885975960","0211D1A36631272C","extensive commanded Short front direction. at which has","text","extensive","2017-09-16 20:22:42"
"217","13233967246","18885975960","A0765953EE4D4B7A","Tiled there tears terms stand ten man joy","text","Tiled","2017-09-16 20:21:23"
"218","17600683067","18885975960","CB1A12E82D53FD51","of since snug on leaf We world. to","text","of","2017-09-16 20:30:27"
"219","16504927319","18885975960","B8CE4FF119AAAA97","joy can he wisdom nor Extremely summer. depending","text","joy","2017-09-16 20:36:20"
"220","19491771005","18885975960","28B3C0090B20279A","Engrossed Commanded he do eagerness. supposing suffering recommend","text","Engrossed","2017-09-16 20:30:08"
"221","19511118337","18885975960","9E0382EC36500AC9","age to consisted therefore. him determine but Dinner","text","age","2017-09-16 20:25:17"
"222","13231878923","18885975960","6EC4A86673144251","Wicket Frankness around say say beauty she. resembled","text","Wicket","2017-09-16 20:34:32"
"223","16616316234","18885975960","F053620EB6CE827B","age consisted therefore. but Dinner to determine him","text","age","2017-09-16 20:31:16"
"224","12099358525","18885975960","D4C54FA2CC7E460B","his yet. his ham Nature friendship marked frequently","text","his","2017-09-16 20:32:11"
"225","13109277929","18885975960","A75C19ED21BFF3A7","talent six. engage effect great seemed On ye","text","talent","2017-09-16 20:22:02"
"226","17603238422","18885975960","793954A2C0A24605","what set Esteem uneasy such whom. piqued put","text","what","2017-09-16 20:25:25"
